date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:00:06	142220/142220	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/floatactious.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/floatactious.jpg	(from http://www.udghosh.org/Informals/funzone.html)
08:00:13	171777/171777	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/mock%20cid.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/mock%20cid.jpg	(from http://www.udghosh.org/Informals/funzone.html)
08:00:22	136181/136181	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/movin_%20on%20up.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/movin_%20on%20up.jpg	(from http://www.udghosh.org/Informals/funzone.html)
08:00:28	136749/136749	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/perfect%20kicker.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/perfect%20kicker.jpg	(from http://www.udghosh.org/Informals/funzone.html)
08:00:33	61813/61813	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/puzzlemania3.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/puzzlemania3.jpg	(from http://www.udghosh.org/Informals/funzone.html)
08:00:47	289925/289925	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/on%20the%20rebound.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/on%20the%20rebound.jpg	(from http://www.udghosh.org/Informals/funzone.html)
08:00:48	216334/216334	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/pucker%20up.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/pucker%20up.jpg	(from http://www.udghosh.org/Informals/funzone.html)
08:01:03	95137/95137	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/rope%20climbing.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/rope%20climbing.jpg	(from http://www.udghosh.org/Informals/funzone.html)
08:01:12	243250/243250	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/Ready%20Spaghetti.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/Ready%20Spaghetti.jpg	(from http://www.udghosh.org/Informals/funzone.html)
08:01:16	301531/301531	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/rapid%20fire.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/rapid%20fire.jpg	(from http://www.udghosh.org/Informals/funzone.html)
